24.11.2023 02:41 (Init) | Executable Started !
24.11.2023 02:41 (RSCF_Parse_Enviroment) | env_header: total_meshes: 6412 total_indexes: 1522032 total_vertexes: 720157
24.11.2023 02:41 (Materials) | MARE Header: 377 materials in file
24.11.2023 02:41 (Materials) | Not found match with texture hash 92e4e74b and material hash 3b49a449 
24.11.2023 02:41 (Materials) | Not found match with texture hash 43d06e6d and material hash 3d9e3abb 
24.11.2023 02:41 (Materials) | Not found match with texture hash 6254768f and material hash d47e630e 
24.11.2023 02:41 (Materials) | Not found match with texture hash 864d4640 and material hash abce3ba8 
24.11.2023 02:41 (Materials) | Not found match with texture hash 850876a1 and material hash 34f363f2 
24.11.2023 02:41 (Materials) | Not found match with texture hash 1fb6d027 and material hash cfb369a6 
24.11.2023 02:41 (Materials) | Not found match with texture hash 18078bcd and material hash ce4e6f79 
24.11.2023 02:41 (Materials) | Not found match with texture hash bf23e87f and material hash 61dcc9cd 
24.11.2023 02:41 (Materials) | Not found match with texture hash 0 and material hash 1f689e8f 
24.11.2023 02:41 (Materials) | Not found match with texture hash 0 and material hash 5c13d641 
24.11.2023 02:41 (Materials) | Not found match with texture hash 4a158313 and material hash c5b08663 
24.11.2023 02:41 (Materials) | Not found match with texture hash 0 and material hash 7fe383c3 
24.11.2023 02:41 (Materials) | Not found match with texture hash e2fde625 and material hash 882cdcba 
24.11.2023 02:41 (Materials) | Not found match with texture hash e0ff288c and material hash 5949a3bc 
24.11.2023 02:41 (Materials) | Not found match with texture hash 9be93d0d and material hash 31f030c 
24.11.2023 02:41 (Materials) | Not found match with texture hash b484008 and material hash 671aa566 
24.11.2023 02:41 (EMOD) | Package name: Refinery
24.11.2023 02:41 (Materials) | MARE Header: 319 materials in file
24.11.2023 02:41 (Materials) | Not found match with texture hash 0 and material hash 7f0730a4 
24.11.2023 02:41 (Materials) | Not found match with texture hash 0 and material hash 9530228b 
24.11.2023 02:41 (Materials) | Not found match with texture hash 0 and material hash 46592604 
24.11.2023 02:41 (Materials) | Not found match with texture hash 0 and material hash 30cdf0 
24.11.2023 02:41 (Materials) | Not found match with texture hash 0 and material hash e3bd038 
24.11.2023 02:41 (Materials) | Not found match with texture hash 0 and material hash c0aa2835 
24.11.2023 02:41 (Materials) | Not found match with texture hash 0 and material hash 6ae943b9 
24.11.2023 02:41 (Materials) | Not found match with texture hash 0 and material hash df018bcf 
24.11.2023 02:41 (Materials) | Not found match with texture hash 0 and material hash f254296c 
24.11.2023 02:41 (Materials) | Not found match with texture hash 0 and material hash 7f2c22b4 
24.11.2023 02:41 (Materials) | Not found match with texture hash 0 and material hash 7df491e2 
24.11.2023 02:41 (Materials) | Not found match with texture hash 15900c0 and material hash fe1a2b71 
24.11.2023 02:41 (Model) | Empty model 
